tconst,averageRating,numVotes
tt0035423,6.4,89082
tt0062336,6.4,187
tt0069049,6.7,8044
tt0088751,5.2,350
tt0096056,5.5,878
tt0096235,5.6,73
tt0100275,6.5,359
tt0108549,7.8,34
tt0113026,5.6,1433
tt0113092,3.4,843
tt0114447,4.1,161
tt0115937,7.7,13
tt0116391,6.2,269
tt0116628,6.3,64
tt0116991,7.3,78
tt0117149,4.7,195
tt0117163,6.4,55
tt0117743,6.7,66
tt0118141,5.3,955
tt0118589,2.4,24090
tt0118652,4.9,1913
tt0118694,8.1,166895
tt0118710,6.3,157
tt0118852,7.1,4635
tt0118926,6.9,6877
tt0119004,5.6,4754
tt0119231,4.3,192
tt0119273,5.4,9325
tt0119495,5.0,153
tt0119806,6.0,44
tt0119966,6.6,9
tt0119970,5.8,128
tt0119980,6.5,76
tt0120166,4.2,696
tt0120202,6.7,22184
tt0120263,7.5,20350
tt0120467,5.2,4287
tt0120589,7.2,349
tt0120607,4.8,83
tt0120624,6.6,171
tt0120626,7.1,3395
tt0120630,7.1,212276
tt0120667,5.7,343895
tt0120673,6.6,35
tt0120679,7.3,95337
tt0120681,6.7,164226
tt0120698,4.4,373
tt0120733,5.6,377
tt0120737,8.9,2007346
tt0120753,5.7,22473
tt0120755,6.1,377739
tt0120804,6.6,288477
tt0120807,4.7,329
tt0120824,6.7,33924
tt0120870,5.2,63
tt0120903,7.3,646651
tt0120912,6.2,403710
tt0120913,6.6,63956
tt0120917,7.4,225522
tt0121164,7.4,298872
tt0121765,6.6,759015
tt0121766,7.6,845478
tt0122161,4.9,457
tt0122247,5.2,795
tt0122459,6.9,22790
tt0123003,6.0,1603
tt0123055,3.8,146
tt0123581,5.0,80
tt0124889,5.4,113
tt0125022,6.2,57997
tt0125366,4.7,328
tt0126029,7.9,734263
tt0126899,2.7,112
tt0127349,6.4,7626
tt0128158,4.8,103
tt0128165,3.8,77
tt0128216,3.3,294
tt0130436,3.5,36
tt0130623,6.4,67232
tt0131597,5.3,27
tt0131704,4.3,21200
tt0132078,6.0,240
tt0132245,4.6,43106
tt0132885,4.6,403
tt0132910,4.9,12408
tt0133063,7.9,337
tt0133152,5.7,229138
tt0133240,7.2,133060
tt0133752,6.5,109
tt0134084,5.6,164070
tt0134630,6.1,10057
tt0134847,7.0,253005
tt0134983,4.8,19415
tt0135707,6.3,411
tt0135991,4.0,171
tt0136517,3.4,127
tt0137204,8.5,293
tt0137268,5.6,323
tt0138288,6.5,83
tt0138353,5.7,657
tt0138524,6.3,101857
tt0138583,6.2,9
tt0138749,6.9,107469
tt0138818,6.5,110
tt0138856,7.3,14
tt0138927,6.5,450
tt0138946,6.4,23101
tt0139159,7.7,9
tt0139388,5.6,2540
tt0139500,7.0,1732
tt0139654,7.7,472942
tt0140806,6.9,110
tt0141120,4.0,383
tt0141907,4.5,5252
tt0141926,6.6,87411
tt0142634,3.3,739
tt0142650,4.6,277
tt0143344,4.1,221
tt0143558,5.2,75
tt0144084,7.6,715617
tt0144142,5.1,4044
tt0144189,4.2,211
tt0144280,4.4,83
tt0144528,4.5,53276
tt0144574,6.5,93
tt0144608,4.5,701
tt0144964,4.6,21311
tt0145487,7.4,879867
tt0146063,6.3,379
tt0146272,4.6,139
tt0146309,7.3,62704
tt0146316,5.8,218982
tt0146803,6.5,499
tt0146882,7.4,189794
tt0146984,6.7,59468
tt0147447,5.6,13
tt0147486,4.1,132
tt0148415,4.1,70
tt0148421,6.5,352
tt0149253,5.9,237
tt0149367,6.3,6405
tt0149624,5.8,15658
tt0150021,4.5,2104
tt0151150,6.1,11021
tt0151299,5.3,21
tt0151309,5.8,151
tt0151685,7.4,20
tt0152083,5.9,89
tt0153012,4.0,123
tt0153100,7.2,46
tt0153464,6.0,2846
tt0153533,6.4,110
tt0154187,6.5,126
tt0155150,4.8,429
tt0156020,6.1,718
tt0156100,3.9,143
tt0156263,7.7,13
tt0156323,5.6,9541
tt0156376,5.7,123
tt0156741,4.9,704
tt0156757,5.9,2125
tt0156807,4.4,1196
tt0156812,7.0,21353
tt0156841,4.7,11697
tt0156942,5.4,193
tt0157007,3.7,372
tt0157122,7.4,3725
tt0157191,5.3,1649
tt0157202,4.9,74
tt0157262,3.5,12911
tt0157472,5.2,15118
tt0157583,6.4,21920
tt0157836,2.8,956
tt0158033,5.9,1845
tt0158622,3.7,25448
tt0159273,6.4,112876
tt0159290,7.4,591
tt0159291,4.8,293
tt0159365,7.2,156086
tt0159371,7.3,202
tt0159378,5.5,43
tt0159396,3.6,164
tt0159784,6.2,7172
tt0160009,5.7,30909
tt0160127,5.6,196312
tt0160184,5.3,29514
tt0160239,4.4,113
tt0160240,7.8,36
tt0160256,5.6,245
tt0160261,6.0,87
tt0160270,6.5,12
tt0160275,7.4,184
tt0160289,5.5,1452
tt0160399,6.1,24560
tt0160403,5.9,1372
tt0160425,6.0,30
tt0160434,4.1,232
tt0160447,4.7,228
tt0160480,7.0,14
tt0160484,4.8,11373
tt0160495,4.7,1050
tt0160547,4.9,439
tt0160611,6.3,14374
tt0160616,5.7,301
tt0160644,5.5,3584
tt0160652,4.6,372
tt0160663,5.5,278
tt0160706,5.3,923
tt0160710,6.9,294
tt0160749,6.1,1022
tt0160751,7.9,21
tt0160759,6.6,171
tt0160797,6.4,50321
tt0160859,3.4,112
tt0160870,5.2,47
tt0160905,5.1,647
tt0161003,5.3,278
tt0161081,6.6,135733
tt0161083,5.4,16917
tt0161088,3.1,335
tt0161216,6.3,2408
tt0161860,7.5,13963
tt0162030,3.3,354
tt0162203,5.2,40
tt0162222,7.8,638757
tt0162346,7.3,126839
tt0162650,6.0,80803
tt0162711,4.9,1631
tt0162838,5.5,290
tt0162983,4.8,13175
tt0163025,5.9,341070
tt0163080,5.8,537
tt0163125,5.3,375
tt0163246,3.2,208
tt0163566,4.6,112
tt0163596,5.1,202
tt0163676,4.6,4861
tt0163745,6.4,693
tt0163764,5.9,270
tt0163978,6.6,253751
tt0163983,5.1,15397
tt0164003,5.9,5817
tt0164052,5.8,138425
tt0164182,8.3,15
tt0164184,6.4,124417
tt0164192,4.7,846
tt0164212,6.4,27624
tt0164318,5.5,362
tt0164334,6.4,95898
tt0164545,3.7,502
tt0164810,6.1,1068
tt0164953,7.0,33
tt0164961,6.4,23110
tt0165361,6.1,6818
tt0165400,3.5,283
tt0165452,3.2,49
tt0165642,3.2,181
tt0165713,6.8,13
tt0165800,3.9,661
tt0165832,7.6,36794
tt0165928,4.5,262
tt0165929,6.1,73694
tt0165982,6.7,59469
tt0166013,6.3,781
tt0166110,4.4,8191
tt0166158,5.6,2551
tt0166186,5.6,74
tt0166192,5.6,221
tt0166276,4.8,19199
tt0166339,8.0,12
tt0166370,4.8,2086
tt0166813,7.2,85373
tt0166924,7.9,383883
tt0167116,6.0,3427
tt0167183,4.8,222
tt0167190,6.8,350076
tt0167203,5.5,4894
tt0167260,9.0,1979432
tt0167261,8.8,1784021
tt0167360,5.4,982
tt0167456,4.3,14478
tt0168446,7.1,3466
tt0168504,5.5,1758
tt0168509,6.4,30
tt0168578,4.5,143
tt0168612,5.2,164
tt0168629,7.9,116809
tt0168631,4.8,644
tt0168714,2.6,31
tt0168786,7.3,38430
tt0168856,6.0,7331
tt0169102,8.1,120687
tt0169122,3.5,497
tt0169324,5.6,885
tt0169543,5.6,773
tt0169579,6.5,44
tt0170008,5.4,178
tt0170016,6.3,291506
tt0170367,5.8,42
tt0170452,5.1,662
tt0170508,6.9,209
tt0170691,6.9,43358
tt0171339,3.1,117
tt0171356,5.6,7849
tt0171359,5.9,9991
tt0171433,6.4,53230
tt0171580,6.3,36191
tt0171827,9.0,89
tt0172156,6.6,267281
tt0172182,6.7,117
tt0172464,3.2,518
tt0172495,8.5,1620408
tt0172543,7.0,4053
tt0172632,6.6,1646
tt0172699,4.6,251
tt0172794,4.1,437
tt0172949,3.8,90
tt0172995,5.5,215
tt0173498,4.9,327
tt0173568,5.8,394
tt0173716,6.2,16646
tt0173840,6.4,84082
tt0174336,4.4,4386
tt0174480,5.6,28303
tt0174646,6.4,44
tt0174732,6.1,156
tt0175114,7.3,31
tt0175142,6.3,286739
tt0176185,4.2,321
tt0176244,3.9,475
tt0176578,6.9,15
tt0176579,2.4,521
tt0176694,8.0,1147
tt0176783,5.9,17553
tt0176883,5.2,306
tt0177068,5.2,804
tt0177185,3.9,481
tt0177195,4.2,437
tt0177213,7.4,62
tt0177513,5.3,41
tt0177636,5.5,303
tt0177650,5.2,2178
tt0177845,6.2,1493
tt0177858,7.6,22842
tt0177882,6.6,5211
tt0177885,4.5,500
tt0177888,5.8,598
tt0177971,6.5,177955
tt0177997,3.7,385
tt0178043,6.2,1353
tt0178050,5.5,1827
tt0178642,5.5,3186
tt0179098,6.6,14688
tt0179144,6.1,59
tt0179183,4.5,7313
tt0179344,2.7,226
tt0179400,5.7,79
tt0179435,5.3,760
tt0179443,3.5,1114
tt0179473,4.2,1638
tt0179626,6.1,51937
tt0179653,7.1,76
tt0179803,4.7,165
tt0179861,3.6,1312
tt0180052,3.9,27003
tt0180073,7.2,56740
tt0180093,8.3,898856
tt0180679,6.3,1995
tt0180683,6.0,150
tt0180734,6.4,33376
tt0181151,5.6,9847
tt0181311,5.6,846
tt0181536,7.3,89583
tt0181689,7.6,584413
tt0181739,6.3,38763
tt0181836,5.7,2528
tt0181852,6.3,418562
tt0181865,7.6,219745
tt0181875,7.9,293439
tt0181945,5.5,155
tt0181984,7.0,56453
tt0182000,5.8,8133
tt0182027,5.9,87
tt0182295,5.9,4903
tt0182508,6.8,3162
tt0183056,6.7,1171
tt0183113,5.2,94
tt0183142,2.5,257
tt0183280,3.3,409
tt0183423,3.8,130
tt0183488,6.7,67
tt0183505,6.6,251269
tt0183523,5.7,76501
tt0183550,6.4,582
tt0183639,4.5,176
tt0183649,7.1,285804
tt0183659,7.0,29628
tt0183790,7.0,201762
tt0183808,4.9,616
tt0183869,6.5,59185
tt0184009,6.2,37
tt0184457,4.6,194
tt0184719,6.8,299
tt0184791,6.1,21923
tt0184858,5.8,42400
tt0184894,6.6,135236
tt0184907,5.2,13708
tt0185007,4.9,412
tt0185014,7.2,66603
tt0185183,2.5,83096
tt0185431,5.3,112546
tt0185542,6.2,446
tt0186029,5.2,86
tt0186045,5.7,15571
tt0186151,7.4,115758
tt0186183,6.1,3852
tt0186202,5.6,957
tt0186221,7.6,19
tt0186454,3.7,483
